# [1]VOLTS  [2]isub_xnmos_d  [3]isub_xpmos_d 
 0.000000e+00  2.054135e-13  -3.057918e-05 
 1.000000e-02  1.483451e-11  -3.037467e-05 
 2.000000e-02  2.946361e-11  -3.017015e-05 
 3.000000e-02  4.409271e-11  -2.996561e-05 
 4.000000e-02  5.872179e-11  -2.976104e-05 
 5.000000e-02  7.335089e-11  -2.955646e-05 
 6.000000e-02  8.797999e-11  -2.935186e-05 
 7.000000e-02  1.026091e-10  -2.914724e-05 
 8.000000e-02  1.172382e-10  -2.894260e-05 
 9.000000e-02  1.318673e-10  -2.873793e-05 
 1.000000e-01  1.464964e-10  -2.853325e-05 
 1.100000e-01  1.611255e-10  -2.832855e-05 
 1.200000e-01  1.757546e-10  -2.812383e-05 
 1.300000e-01  1.903837e-10  -2.791909e-05 
 1.400000e-01  2.050128e-10  -2.771433e-05 
 1.500000e-01  2.196418e-10  -2.750955e-05 
 1.600000e-01  2.342709e-10  -2.730475e-05 
 1.700000e-01  2.489000e-10  -2.709993e-05 
 1.800000e-01  2.635291e-10  -2.689509e-05 
 1.900000e-01  2.781582e-10  -2.669023e-05 
 2.000000e-01  2.927873e-10  -2.646405e-05 
 2.100000e-01  1.487640e-08  -2.585716e-05 
 2.200000e-01  2.946002e-08  -2.525016e-05 
 2.300000e-01  4.404362e-08  -2.464307e-05 
 2.400000e-01  5.862722e-08  -2.403586e-05 
 2.500000e-01  7.321081e-08  -2.342855e-05 
 2.600000e-01  8.779439e-08  -2.282114e-05 
 2.700000e-01  1.023780e-07  -2.221362e-05 
 2.800000e-01  1.169615e-07  -2.160600e-05 
 2.900000e-01  1.315451e-07  -2.099827e-05 
 3.000000e-01  1.461286e-07  -2.039043e-05 
 3.100000e-01  1.607122e-07  -1.978249e-05 
 3.200000e-01  1.752957e-07  -1.917444e-05 
 3.300000e-01  1.898792e-07  -1.856629e-05 
 3.400000e-01  2.044627e-07  -1.795803e-05 
 3.500000e-01  2.190462e-07  -1.734967e-05 
 3.600000e-01  2.336297e-07  -1.674120e-05 
 3.700000e-01  2.482132e-07  -1.613263e-05 
 3.800000e-01  2.627967e-07  -1.552395e-05 
 3.900000e-01  2.773802e-07  -1.491517e-05 
 4.000000e-01  2.919636e-07  -1.430906e-05 
 4.100000e-01  6.468105e-07  -1.379747e-05 
 4.200000e-01  1.001850e-06  -1.328586e-05 
 4.300000e-01  1.356884e-06  -1.277424e-05 
 4.400000e-01  1.711911e-06  -1.226260e-05 
 4.500000e-01  2.066933e-06  -1.175095e-05 
 4.600000e-01  2.421948e-06  -1.123928e-05 
 4.700000e-01  2.776957e-06  -1.072760e-05 
 4.800000e-01  3.131961e-06  -1.021591e-05 
 4.900000e-01  3.486958e-06  -9.704199e-06 
 5.000000e-01  3.841949e-06  -9.192478e-06 
 5.100000e-01  4.196935e-06  -8.680741e-06 
 5.200000e-01  4.551914e-06  -8.168991e-06 
 5.300000e-01  4.906887e-06  -7.657228e-06 
 5.400000e-01  5.261854e-06  -7.145450e-06 
 5.500000e-01  5.616815e-06  -6.633658e-06 
 5.600000e-01  5.971770e-06  -6.121852e-06 
 5.700000e-01  6.326719e-06  -5.610032e-06 
 5.800000e-01  6.681662e-06  -5.098198e-06 
 5.900000e-01  7.036599e-06  -4.586350e-06 
