# [1]TIME  [2]v_vin  [3]v_vout  [4]i_vinput 
 0.000000e+00  7.000000e-01  2.683331e-07  0.000000e+00 
 1.000000e-12  7.000000e-01  2.683331e-07  8.290080e-22 
 2.000000e-12  7.000000e-01  2.683331e-07  9.387157e-22 
 5.200000e-12  7.000000e-01  2.683331e-07  -5.587182e-23 
 1.544000e-11  7.000000e-01  2.683331e-07  2.510935e-22 
 4.820800e-11  7.000000e-01  2.683331e-07  -1.747446e-22 
 1.100000e-10  7.000000e-01  2.683331e-07  3.486885e-22 
 1.182500e-10  5.950000e-01  -9.971245e-03  3.764088e-07 
 1.219596e-10  5.477875e-01  -1.287941e-02  3.891597e-07 
 1.338301e-10  3.967074e-01  -1.421541e-02  3.965543e-07 
 1.650000e-10  0.000000e+00  3.641174e-01  7.566592e-07 
 1.695260e-10  0.000000e+00  4.673874e-01  3.422712e-07 
 1.726965e-10  0.000000e+00  5.342529e-01  2.904452e-07 
 1.828420e-10  0.000000e+00  6.682706e-01  1.058578e-07 
 1.907549e-10  0.000000e+00  6.980216e-01  6.949231e-09 
 2.064117e-10  0.000000e+00  7.004967e-01  -2.206022e-09 
 2.150594e-10  0.000000e+00  6.999254e-01  2.235013e-10 
 2.288041e-10  0.000000e+00  7.000120e-01  -8.006200e-11 
 2.577525e-10  0.000000e+00  6.999776e-01  3.863182e-11 
 2.972876e-10  0.000000e+00  7.000002e-01  -2.785276e-11 
 4.051238e-10  0.000000e+00  6.999854e-01  2.374145e-11 
 6.202696e-10  0.000000e+00  6.999985e-01  -2.191514e-11 
 8.702696e-10  0.000000e+00  6.999862e-01  2.043395e-11 
 1.120270e-09  0.000000e+00  6.999977e-01  -1.905010e-11 
 1.165000e-09  0.000000e+00  6.999855e-01  1.088647e-11 
 1.173250e-09  1.050000e-01  7.103963e-01  -3.756102e-07 
 1.176476e-09  1.460616e-01  7.131060e-01  -3.882807e-07 
 1.186800e-09  2.774586e-01  7.036093e-01  -4.284024e-07 
 1.200106e-09  4.468024e-01  4.919453e-01  -8.378982e-07 
 1.207681e-09  5.432081e-01  2.835648e-01  -7.764997e-07 
 1.220000e-09  7.000000e-01  7.179174e-02  -5.283188e-07 
 1.223228e-09  7.000000e-01  4.277664e-02  -1.348572e-07 
 1.225320e-09  7.000000e-01  2.687629e-02  -9.313696e-08 
 1.232016e-09  7.000000e-01  3.184193e-03  -1.124725e-08 
 1.241449e-09  7.000000e-01  -1.432511e-04  6.641862e-10 
 1.250513e-09  7.000000e-01  2.626896e-05  -1.030851e-10 
 1.262170e-09  7.000000e-01  -6.086708e-06  3.996827e-11 
 1.285691e-09  7.000000e-01  3.073247e-06  -2.436056e-11 
 1.343651e-09  7.000000e-01  -2.594819e-06  2.142602e-11 
 1.471121e-09  7.000000e-01  2.181451e-06  -2.030161e-11 
 1.721121e-09  7.000000e-01  -2.129634e-06  1.978413e-11 
 1.971121e-09  7.000000e-01  1.959904e-06  -1.929323e-11 
 2.055000e-09  7.000000e-01  -1.626984e-06  1.800992e-11 
 2.063250e-09  5.950000e-01  -9.971797e-03  3.764113e-07 
 2.067504e-09  5.408528e-01  -1.314413e-02  3.903067e-07 
 2.081119e-09  3.675820e-01  -1.227670e-02  4.006950e-07 
 2.110000e-09  0.000000e+00  3.519060e-01  7.666718e-07 
 2.114581e-09  0.000000e+00  4.585192e-01  3.491135e-07 
 2.117651e-09  0.000000e+00  5.247373e-01  2.980503e-07 
 2.127474e-09  0.000000e+00  6.621855e-01  1.217344e-07 
 2.135414e-09  0.000000e+00  6.971015e-01  1.020136e-08 
 2.152955e-09  0.000000e+00  7.008554e-01  -3.780364e-09 
 2.161410e-09  0.000000e+00  6.998893e-01  3.522901e-10 
 2.175226e-09  0.000000e+00  7.000231e-01  -1.298814e-10 
 2.201091e-09  0.000000e+00  6.999722e-01  5.936650e-11 
 2.234523e-09  0.000000e+00  7.000033e-01  -4.027353e-11 
 2.326044e-09  0.000000e+00  6.999834e-01  3.377138e-11 
 2.490794e-09  0.000000e+00  7.000006e-01  -3.065516e-11 
 2.740794e-09  0.000000e+00  6.999846e-01  2.873926e-11 
 2.990794e-09  0.000000e+00  6.999995e-01  -2.694926e-11 
 3.110000e-09  0.000000e+00  6.999858e-01  2.349614e-11 
 3.116875e-09  8.750000e-02  7.097872e-01  -3.731529e-07 
 3.122204e-09  1.553299e-01  7.140158e-01  -3.921313e-07 
 3.139259e-09  3.723856e-01  5.824730e-01  -6.283405e-07 
 3.147637e-09  4.790194e-01  3.912245e-01  -8.455190e-07 
 3.159579e-09  6.310056e-01  1.286486e-01  -6.032320e-07 
 3.165000e-09  7.000000e-01  6.799114e-02  -5.209489e-07 
 3.169486e-09  7.000000e-01  3.430999e-02  -1.126486e-07 
 3.171156e-09  7.000000e-01  2.343557e-02  -8.269085e-08 
 3.176500e-09  7.000000e-01  5.344394e-03  -1.886654e-08 
