# [1]TIME  [2]v_out09 
 0.000000e+00  1.200000e+00 
 1.000000e-12  7.168393e-01 
 1.250000e-12  7.254894e-01 
 1.330173e-12  7.282174e-01 
 1.586727e-12  7.358800e-01 
 2.407701e-12  7.509761e-01 
 4.353063e-12  7.544221e-01 
 6.465525e-12  7.391101e-01 
 8.922613e-12  7.180244e-01 
 1.188862e-11  6.915001e-01 
 1.541797e-11  6.585851e-01 
 1.958112e-11  6.019639e-01 
 2.416298e-11  4.574727e-01 
 2.935987e-11  2.474394e-01 
 3.528829e-11  1.027331e-01 
 4.025666e-11  5.259542e-02 
 4.603273e-11  3.050409e-02 
 5.062952e-11  2.558579e-02 
 5.537860e-11  2.189391e-02 
 6.152412e-11  1.804016e-02 
 6.600163e-11  1.506372e-02 
 7.084865e-11  1.167273e-02 
 7.517509e-11  9.150777e-03 
 8.060656e-11  1.088738e-02 
 8.507826e-11  5.546918e-03 
 8.977077e-11  -1.743566e-02 
 9.396981e-11  -4.074780e-02 
 9.933472e-11  1.503193e-01 
 1.038407e-10  4.389087e-01 
 1.052872e-10  4.965369e-01 
 1.063790e-10  5.364892e-01 
 1.098727e-10  6.301983e-01 
 1.146400e-10  7.020703e-01 
 1.219390e-10  7.832928e-01 
 1.265880e-10  8.463951e-01 
 1.324757e-10  9.284734e-01 
 1.370981e-10  9.865661e-01 
 1.429019e-10  1.051847e+00 
 1.474460e-10  1.095747e+00 
 1.522230e-10  1.132621e+00 
 1.570989e-10  1.159957e+00 
 1.625128e-10  1.179321e+00 
 1.670607e-10  1.186146e+00 
 1.717929e-10  1.187897e+00 
 1.764489e-10  1.195780e+00 
 1.817315e-10  1.239238e+00 
 1.864010e-10  1.199923e+00 
 1.911721e-10  9.756238e-01 
 1.956166e-10  6.568509e-01 
 2.008698e-10  3.117169e-01 
 2.055143e-10  1.492637e-01 
 2.104194e-10  7.986949e-02 
 2.148247e-10  4.546385e-02 
 2.203571e-10  2.592638e-02 
 2.249697e-10  2.211857e-02 
 2.301323e-10  2.053944e-02 
 2.345328e-10  1.806476e-02 
 2.402860e-10  1.464212e-02 
 2.449313e-10  1.166122e-02 
 2.501051e-10  8.612540e-03 
 2.545575e-10  7.190188e-03 
 2.602389e-10  9.574772e-03 
 2.649332e-10  -4.313067e-04 
 2.699678e-10  -2.825530e-02 
 2.744666e-10  -2.094251e-02 
 2.799970e-10  2.504015e-01 
 2.847030e-10  5.369420e-01 
 2.896531e-10  6.567019e-01 
 2.941397e-10  7.127340e-01 
 2.996010e-10  7.722629e-01 
 3.042878e-10  8.371274e-01 
 3.092358e-10  9.081394e-01 
 3.137006e-10  9.663563e-01 
 3.191926e-10  1.030761e+00 
 3.238618e-10  1.078502e+00 
 3.288685e-10  1.120758e+00 
 3.333247e-10  1.149673e+00 
 3.388810e-10  1.174152e+00 
 3.435487e-10  1.183725e+00 
 3.485916e-10  1.186996e+00 
 3.530497e-10  1.193150e+00 
 3.545322e-10  1.200547e+00 
 3.557568e-10  1.209754e+00 
 3.596757e-10  1.246801e+00 
 3.634248e-10  1.210058e+00 
 3.668132e-10  1.076335e+00 
 3.718053e-10  7.531700e-01 
 3.768691e-10  3.706706e-01 
 3.814211e-10  1.633406e-01 
 3.861036e-10  9.244586e-02 
 3.902759e-10  5.468267e-02 
 3.956092e-10  2.916306e-02 
 4.004029e-10  2.272997e-02 
 4.050780e-10  2.186533e-02 
 4.094596e-10  1.945564e-02 
 4.147664e-10  1.616735e-02 
 4.201981e-10  1.297898e-02 
 4.248599e-10  1.017226e-02 
 4.296001e-10  7.509225e-03 
 4.350602e-10  7.311841e-03 
 4.405750e-10  8.154508e-03 
 4.452278e-10  -6.281306e-03 
 4.500295e-10  -3.465908e-02 
 4.555694e-10  6.312652e-02 
 4.609983e-10  3.663304e-01 
 4.656753e-10  5.912355e-01 
 4.704452e-10  6.817272e-01 
 4.760689e-10  7.385691e-01 
 4.813994e-10  8.022808e-01 
 4.861088e-10  8.736551e-01 
 4.908464e-10  9.377357e-01 
 4.964052e-10  1.005240e+00 
 5.017203e-10  1.062544e+00 
 5.064315e-10  1.106031e+00 
 5.111446e-10  1.140066e+00 
 5.166902e-10  1.167734e+00 
 5.220180e-10  1.183082e+00 
 5.267289e-10  1.187973e+00 
 5.314504e-10  1.188936e+00 
 5.370075e-10  1.210704e+00 
 5.423375e-10  1.247016e+00 
 5.436485e-10  1.248582e+00 
 5.447908e-10  1.240380e+00 
 5.484459e-10  1.127464e+00 
 5.533429e-10  8.274363e-01 
 5.592440e-10  3.803704e-01 
 5.637833e-10  1.656309e-01 
 5.685910e-10  9.172312e-02 
 5.728984e-10  5.315062e-02 
 5.781926e-10  2.862946e-02 
 5.828614e-10  2.277257e-02 
 5.875034e-10  2.196901e-02 
 5.917786e-10  1.959111e-02 
 5.970109e-10  1.631069e-02 
 6.024123e-10  1.310280e-02 
 6.070670e-10  1.027144e-02 
 6.117805e-10  7.596155e-03 
 6.171967e-10  7.295778e-03 
 6.227658e-10  8.231198e-03 
 6.273955e-10  -5.831255e-03 
 6.322189e-10  -3.440141e-02 
 6.376445e-10  5.324464e-02 
 6.431694e-10  3.589306e-01 
 6.478140e-10  5.879135e-01 
 6.526093e-10  6.803707e-01 
 6.581539e-10  7.367753e-01 
 6.635769e-10  8.014269e-01 
 6.682560e-10  8.720546e-01 
 6.730245e-10  9.366275e-01 
 6.786463e-10  1.004958e+00 
 6.839765e-10  1.062454e+00 
 6.886861e-10  1.105945e+00 
 6.934233e-10  1.140153e+00 
 6.989818e-10  1.167843e+00 
 7.042972e-10  1.183107e+00 
 7.090083e-10  1.187971e+00 
 7.137215e-10  1.188935e+00 
 7.192674e-10  1.210681e+00 
 7.245953e-10  1.247021e+00 
 7.259054e-10  1.248598e+00 
 7.270473e-10  1.240439e+00 
 7.307010e-10  1.127760e+00 
 7.355904e-10  8.286011e-01 
 7.414925e-10  3.813522e-01 
 7.460329e-10  1.660239e-01 
 7.508399e-10  9.190760e-02 
 7.551494e-10  5.324046e-02 
 7.604409e-10  2.866929e-02 
 7.651228e-10  2.276739e-02 
 7.697661e-10  2.196162e-02 
 7.740493e-10  1.958009e-02 
 7.792862e-10  1.629918e-02 
 7.846925e-10  1.309153e-02 
 7.893470e-10  1.026284e-02 
 7.940645e-10  7.587451e-03 
 7.994789e-10  7.291637e-03 
 8.050474e-10  8.226554e-03 
 8.096767e-10  -5.838696e-03 
 8.144990e-10  -3.440239e-02 
 8.199267e-10  5.335748e-02 
 8.254503e-10  3.590017e-01 
 8.300953e-10  5.879496e-01 
 8.348905e-10  6.803870e-01 
 8.404369e-10  7.368061e-01 
 8.458583e-10  8.014414e-01 
 8.505380e-10  8.720828e-01 
 8.553060e-10  9.366481e-01 
 8.609267e-10  1.004965e+00 
 8.662567e-10  1.062457e+00 
 8.709663e-10  1.105947e+00 
 8.757031e-10  1.140153e+00 
 8.812613e-10  1.167842e+00 
 8.865768e-10  1.183107e+00 
 8.912879e-10  1.187971e+00 
 8.960012e-10  1.188935e+00 
 9.015472e-10  1.210680e+00 
 9.068752e-10  1.247020e+00 
 9.081853e-10  1.248598e+00 
 9.093271e-10  1.240439e+00 
 9.129809e-10  1.127761e+00 
 9.178702e-10  8.286109e-01 
 9.237724e-10  3.813564e-01 
 9.283128e-10  1.660252e-01 
 9.331198e-10  9.190791e-02 
 9.374294e-10  5.324040e-02 
 9.427209e-10  2.866930e-02 
 9.474027e-10  2.276740e-02 
 9.520460e-10  2.196163e-02 
 9.563292e-10  1.958009e-02 
 9.615662e-10  1.629918e-02 
 9.669724e-10  1.309153e-02 
 9.716270e-10  1.026284e-02 
 9.763444e-10  7.587452e-03 
 9.817588e-10  7.291635e-03 
 9.873273e-10  8.226556e-03 
 9.919566e-10  -5.838678e-03 
 9.967790e-10  -3.440238e-02 
 1.002207e-09  5.335708e-02 
 1.007730e-09  3.590014e-01 
 1.012375e-09  5.879495e-01 
 1.017170e-09  6.803869e-01 
 1.022717e-09  7.368060e-01 
 1.028138e-09  8.014413e-01 
 1.032818e-09  8.720827e-01 
 1.037586e-09  9.366481e-01 
 1.043207e-09  1.004965e+00 
 1.048537e-09  1.062457e+00 
 1.053246e-09  1.105947e+00 
 1.057983e-09  1.140153e+00 
 1.063541e-09  1.167842e+00 
 1.068857e-09  1.183107e+00 
 1.073568e-09  1.187971e+00 
 1.078281e-09  1.188935e+00 
 1.083827e-09  1.210680e+00 
 1.089155e-09  1.247020e+00 
 1.090465e-09  1.248598e+00 
 1.091607e-09  1.240439e+00 
 1.095261e-09  1.127761e+00 
 1.100150e-09  8.286109e-01 
 1.106052e-09  3.813563e-01 
 1.110593e-09  1.660252e-01 
 1.115400e-09  9.190791e-02 
 1.119709e-09  5.324040e-02 
 1.125001e-09  2.866930e-02 
 1.129683e-09  2.276740e-02 
 1.134326e-09  2.196163e-02 
 1.138609e-09  1.958009e-02 
 1.143846e-09  1.629918e-02 
 1.149252e-09  1.309153e-02 
 1.153907e-09  1.026284e-02 
 1.158624e-09  7.587452e-03 
 1.164039e-09  7.291635e-03 
 1.169607e-09  8.226556e-03 
 1.174237e-09  -5.838678e-03 
 1.179059e-09  -3.440238e-02 
 1.184487e-09  5.335708e-02 
 1.190010e-09  3.590014e-01 
 1.194655e-09  5.879495e-01 
 1.199450e-09  6.803869e-01 
 1.204997e-09  7.368060e-01 
 1.210418e-09  8.014414e-01 
 1.215098e-09  8.720827e-01 
 1.219866e-09  9.366481e-01 
 1.225487e-09  1.004965e+00 
 1.230817e-09  1.062457e+00 
 1.235526e-09  1.105947e+00 
 1.240263e-09  1.140153e+00 
 1.245821e-09  1.167842e+00 
